date,value
1881-01-01,15.202013976738966
1881-02-01,14.238395239586096
1881-03-01,13.567386246589361
1881-04-01,14.132948131725222
1881-05-01,13.987508920897003
1881-06-01,14.505669791838322
1881-07-01,14.430945048241547
1881-08-01,14.553248203849904
1881-09-01,14.88046208303469
1881-10-01,14.556573127179066
1881-11-01,14.166302285223127
1881-12-01,13.768315498833516
1882-01-01,13.731539698854794
1882-02-01,14.086056565980227
1882-03-01,13.852081997076645
1882-04-01,14.555129077198073
1882-05-01,15.61490502880786
1882-06-01,15.097811916364329
1882-07-01,15.820874569438883
1882-08-01,15.820137072463691
1882-09-01,16.05858842556219
1882-10-01,15.988233332588646
1882-11-01,16.72970595721444
1882-12-01,16.948131616637667
1883-01-01,16.74951063723673
1883-02-01,16.509071759646343
1883-03-01,15.798305979519895
1883-04-01,15.465340393690044
1883-05-01,16.20753424013143
1883-06-01,16.867333340233248
1883-07-01,16.493285619296554
1883-08-01,15.844477905058662
1883-09-01,16.42554248577825
1883-10-01,16.693022421582796
1883-11-01,15.517391328918523
1883-12-01,17.255227687346746
1884-01-01,17.272219752690976
1884-02-01,18.303218507969262
1884-03-01,18.417737182289752
1884-04-01,17.803293578281327
1884-05-01,17.9297193260485
1884-06-01,17.059182356269652
1884-07-01,16.993626778468638
1884-08-01,16.35080907883426
1884-09-01,16.238158941106523
1884-10-01,16.39696228714449
1884-11-01,16.584272401390674
1884-12-01,15.71838170325383
1885-01-01,15.341496989967727
1885-02-01,14.166342846525191
1885-03-01,14.548856189772849
1885-04-01,14.680542500405044
1885-05-01,13.985621114081114
1885-06-01,14.839160166226641
1885-07-01,15.129099120657198
1885-08-01,15.075959575516789
1885-09-01,14.801971644635127
1885-10-01,14.429441275874334
1885-11-01,13.965903921064042
1885-12-01,14.680279115324307
1886-01-01,14.854959625250745
1886-02-01,14.235577723898565
1886-03-01,15.023697428803478
1886-04-01,14.979461270410903
1886-05-01,14.43805496989777
1886-06-01,15.633337029308365
1886-07-01,14.98633988770333
1886-08-01,14.501197939496205
1886-09-01,14.511322559195923
1886-10-01,14.714658681429764
1886-11-01,14.272939394178948
1886-12-01,12.95643580108323
1887-01-01,12.985924101930138
1887-02-01,12.368338469066266
1887-03-01,12.16290198716408
1887-04-01,11.68675946832261
1887-05-01,11.04658810743064
1887-06-01,10.896710777322276
1887-07-01,10.527446305573942
1887-08-01,10.033412255162593
1887-09-01,10.622780994337825
1887-10-01,10.035825239845472
1887-11-01,9.894326531787076
1887-12-01,9.881834173398824
1888-01-01,8.877466647633671
1888-02-01,8.216845613017796
1888-03-01,8.203113802854382
1888-04-01,8.166913395519288
1888-05-01,7.704014653260081
1888-06-01,7.698394168003009
1888-07-01,7.869009848599662
1888-08-01,8.231107250943703
1888-09-01,8.640971446442528
1888-10-01,9.376416914685624
1888-11-01,9.45100028992849
1888-12-01,8.62762932523028
1889-01-01,8.460186139475901
1889-02-01,7.708750997195219
1889-03-01,8.225776475544642
1889-04-01,9.059646888403613
1889-05-01,9.065972243331087
1889-06-01,9.773368666335553
1889-07-01,10.43977129766718
1889-08-01,10.631975323968216
1889-09-01,10.957976241207861
1889-10-01,11.537206887070623
1889-11-01,10.709601493986154
1889-12-01,10.868293289553392
1890-01-01,11.210745694363762
1890-02-01,10.36004643504289
1890-03-01,11.517379177478253
1890-04-01,12.182889864600885
1890-05-01,12.853318045621316
1890-06-01,13.108654733982183
1890-07-01,12.549506713838582
1890-08-01,11.798421253503417
1890-09-01,11.748889232902862
1890-10-01,12.176983171228617
1890-11-01,12.51247762424444
1890-12-01,13.548613782937995
1891-01-01,13.372187325836453
1891-02-01,13.16617207389737
1891-03-01,13.18083325032796
1891-04-01,12.497114615446792
1891-05-01,13.408244914569647
1891-06-01,13.268216491047626
1891-07-01,13.430159536658648
1891-08-01,13.928747979820875
1891-09-01,13.487167574487847
1891-10-01,13.663598023973664
1891-11-01,13.668995561365852
1891-12-01,14.264227432747939
1892-01-01,14.279276782338794
1892-02-01,12.575142681134889
1892-03-01,12.024473532018138
1892-04-01,11.134625200595593
1892-05-01,12.300943075854182
1892-06-01,13.159689948856835
1892-07-01,11.879460053495716
1892-08-01,11.283134993780777
1892-09-01,10.462174725745369
1892-10-01,10.6020393853665
1892-11-01,10.038500941953473
1892-12-01,9.889210635440804
1893-01-01,9.072894510770915
1893-02-01,9.34108475260346
1893-03-01,8.343522616773317
1893-04-01,9.855373840089333
1893-05-01,10.767979441049086
1893-06-01,12.266984962958654
1893-07-01,12.640818707392334
1893-08-01,13.585013646962572
1893-09-01,14.130685189986163
1893-10-01,13.537997585181479
1893-11-01,13.324641889734153
1893-12-01,13.589070631443862
1894-01-01,14.290402863780612
1894-02-01,14.296446393133484
1894-03-01,14.63920556985217
1894-04-01,14.449611966457338
1894-05-01,14.212171809453334
1894-06-01,13.339248150265979
1894-07-01,13.61486715372063
1894-08-01,13.329566776055973
1894-09-01,12.568634676212051
1894-10-01,12.222882970414242
1894-11-01,12.404056422553266
