date,value
1990-04-01,12.483383125667046
1990-07-01,5.364511911362129
1990-10-01,5.855414515221764
1991-01-01,9.457891466614253
1991-04-01,10.542976874648419
1991-07-01,8.511497378466164
1991-10-01,4.567509358295396
1992-01-01,1.3131700140068197
1992-04-01,-4.0881333533736335
1992-07-01,-1.4238952479270957
1992-10-01,13.22615359261611
1993-01-01,16.10050903496648
1993-04-01,20.866807987068196
1993-07-01,29.524866813860893
1993-10-01,25.91662626176595
1994-01-01,11.481909120255935
1994-04-01,11.505396052005912
1994-07-01,18.34509985682079
1994-10-01,34.42750872295882
1995-01-01,26.585786257086365
1995-04-01,35.38409057006541
1995-07-01,37.47223439948627
1995-10-01,34.36164664545812
1996-01-01,25.993756026981146
1996-04-01,21.322567755957763
1996-07-01,25.90879961327949
1996-10-01,35.69092901805994
1997-01-01,13.897007152878064
1997-04-01,17.996788202858287
1997-07-01,13.408443412182258
1997-10-01,9.566910873360456
1998-01-01,12.898940729793612
1998-04-01,28.267713315181403
1998-07-01,22.5249099287766
1998-10-01,21.759945488532654
1999-01-01,9.156129012557393
1999-04-01,12.66412078651662
1999-07-01,7.144098687869436
1999-10-01,19.752519435547264
2000-01-01,22.635077754000427
2000-04-01,20.369173622912655
2000-07-01,18.158905724107044
2000-10-01,21.07671244824406
2001-01-01,26.605487049043923
2001-04-01,17.254796736382264
2001-07-01,16.06597306240232
2001-10-01,16.044718928038147
2002-01-01,17.73833664584039
2002-04-01,28.185043879487182
2002-07-01,16.78085094004733
2002-10-01,24.428265639948222
2003-01-01,27.343427192993264
2003-04-01,23.361016486934215
2003-07-01,29.81132503972759
2003-10-01,26.746378453537638
2004-01-01,12.247528502290029
2004-04-01,-15.222982979305009
2004-07-01,-24.954273818468288
2004-10-01,-29.307728041636018
2005-01-01,-27.934141087503733
2005-04-01,-23.15572246008953
2005-07-01,-25.220139102336454
2005-10-01,-30.0
2006-01-01,-30.0
2006-04-01,-30.0
2006-07-01,-27.39070275974113
2006-10-01,-22.935961682947863
2007-01-01,-30.0
2007-04-01,-30.0
2007-07-01,-30.0
2007-10-01,-30.0
2008-01-01,-30.0
2008-04-01,-30.0
2008-07-01,-30.0
2008-10-01,-30.0
2009-01-01,-30.0
2009-04-01,-30.0
2009-07-01,-30.0
2009-10-01,-30.0
2010-01-01,-30.0
2010-04-01,-30.0
2010-07-01,-30.0
2010-10-01,-30.0
2011-01-01,-30.0
2011-04-01,-30.0
2011-07-01,-30.0
2011-10-01,-30.0
2012-01-01,-30.0
2012-04-01,-30.0
2012-07-01,-30.0
2012-10-01,-30.0
2013-01-01,-30.0
2013-04-01,-30.0
2013-07-01,-30.0
2013-10-01,-30.0
2014-01-01,-30.0
2014-04-01,-30.0
2014-07-01,-30.0
2014-10-01,-30.0
2015-01-01,-30.0
2015-04-01,-30.0
2015-07-01,-30.0
2015-10-01,-30.0
2016-01-01,-30.0
2016-04-01,-30.0
2016-07-01,-30.0
2016-10-01,-30.0
2017-01-01,-30.0
2017-04-01,-30.0
2017-07-01,-30.0
2017-10-01,-30.0
2018-01-01,-30.0
2018-04-01,-30.0
2018-07-01,-30.0
2018-10-01,-30.0
2019-01-01,-30.0
2019-04-01,-30.0
2019-07-01,-30.0
2019-10-01,-30.0
2020-01-01,-30.0
2020-04-01,-30.0
2020-07-01,-30.0
2020-10-01,-30.0
2021-01-01,-30.0
2021-04-01,-30.0
2021-07-01,-30.0
2021-10-01,-30.0
2022-01-01,-30.0
2022-04-01,-30.0
2022-07-01,-30.0
2022-10-01,-30.0
2023-01-01,-30.0
2023-04-01,-30.0
2023-07-01,-30.0
2023-10-01,-30.0
2024-01-01,-30.0
2024-04-01,-30.0
2024-07-01,-30.0
2024-10-01,-30.0
2025-01-01,-30.0
2025-04-01,-30.0
2025-07-01,-30.0
2025-10-01,-30.0
2026-01-01,-30.0
2026-04-01,-30.0
